SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
41,1,Phil passed the towels,Sensible,up,up,1,0.940617799759,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The garage tidied Erin,Non-sensible,down,down,1,0.963929891586,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I heard the thunder,Sklar_control_A,down,down,1,0.806853055954,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The room searched Jen,Non-sensible,up,up,1,0.916792869568,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I sewed the sock,Sklar_control_B,down,down,1,0.963871002197,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Bill trimmed the hair,Sensible,down,down,1,1.01868009567,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Luke watered the plants,Sensible,down,down,1,0.963857889175,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The gift posted Jack,Non-sensible,up,up,1,0.94046497345,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I warmed up the food,Sklar_filler,down,down,1,0.846304893494,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The bowl dented Ian,Non-sensible,down,down,1,0.822893857956,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The internet searched Max,Non-sensible,up,up,1,0.830660104752,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The dish served Kate,Non-sensible,down,down,1,0.940428972244,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I spilled the moon,Sklar_violation,down,down,1,0.822749137878,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I played the melody,Sklar_control_A,up,up,1,0.940548181534,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The bike kicked Matt,Non-sensible,down,down,1,0.705353975296,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The desk wiped Lucy,Non-sensible,up,up,1,0.739856958389,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The house built Kate,Non-sensible,down,down,1,0.823014974594,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Tim sniffed the perfume,Sensible,down,down,1,0.669894933701,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I moved the chair,Sklar_control_A,up,up,1,1.03445696831,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The handle pulled Tim,Non-sensible,up,down,0,1.08920311928,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The parcel mailed Rob,Non-sensible,up,up,1,0.713135957718,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I sweetened the chocolate milk ,Sklar_filler,up,up,1,0.655155181885,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Tom visited the hospital,Sensible,up,up,1,0.689280033112,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Phil chopped the herbs,Sensible,down,down,1,0.948010921478,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I bought the clothes,Sklar_filler,up,up,1,0.83056306839,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Lily dented the lorry,Sensible,up,up,1,0.752372980118,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The message typed Eve,Non-sensible,up,up,1,0.586324930191,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Matt kicked the bike,Sensible,down,down,1,0.822737932205,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The hedge jumped Sara,Non-sensible,down,down,1,0.783542871475,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Mike paid the bill,Sensible,up,up,1,0.728568077087,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I cut the wine,Sklar_violation,down,down,1,1.03466296196,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I planted the hammer,Sklar_violation,up,up,1,0.799188137054,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I bought the shoe lace,Sklar_filler,up,up,1,1.32775712013,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The movie watched Ella,Non-sensible,up,up,1,0.599268198013,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I gathered the shower,Sklar_violation,up,up,1,0.728810787201,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Hugh dialed the hotline,Sensible,up,up,1,0.728895187378,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The jar labeled Liz,Non-sensible,down,down,1,0.75223493576,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Carl sold the sofa,Sensible,up,up,1,0.6524310112,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The hair trimmed Bill,Non-sensible,up,up,1,0.670117139816,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I closed the door,Sklar_control_A,up,up,1,0.729038953781,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I built the building,Sklar_control_B,up,up,1,0.66993689537,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I broke the border,Sklar_control_B,up,up,1,0.759891986847,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I turned up the bread,Sklar_violation,up,up,1,0.653497219086,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The thread measured Amy,Non-sensible,down,down,1,0.763252973557,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Dan brushed the hair,Sensible,down,down,1,0.893353939056,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,Kate served the dish,Sensible,down,down,1,0.916719913483,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I lifted the squash,Sklar_filler,up,up,1,0.786906003952,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I woke up the steam,Sklar_violation,up,up,1,0.61757683754,1,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,The turnip mashed Ella,Non-sensible,up,up,1,0.963996171951,3,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
41,1,I tasted the wine,Sklar_control_A,down,down,1,0.807208061218,2,2015_Nov_18_1105,85.0643919574,CFS popping time,001,,
