SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant
2,1,The bike kicked Matt,Non-sensible,up,up,1,2.312440157,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The movie watched Ella,Non-sensible,down,down,1,1.316626787,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I cut the bread,Sklar_control_B,down,down,1,1.468941927,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Phil passed the towels,Sensible,up,up,1,1.489196062,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The money offered Matt,Non-sensible,down,down,1,1.622508049,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Lily got the kettle,Sensible,up,up,1,1.418623924,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Phil sniffed the milk,Sensible,down,down,1,6.667256117,1,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I saw the light,Sklar_filler,up,up,1,6.091687202,1,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I broke the glass,Sklar_control_B,down,down,1,1.599010944,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The bill paid Mike,Non-sensible,down,down,1,1.293376923,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I tore the juice,Sklar_violation,down,down,1,1.246198893,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I ironed the coffee,Sklar_violation,up,up,1,1.128559113,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The plate licked Jane,Non-sensible,up,up,1,5.362683058,1,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Lucy counted the shoes,Sensible,down,down,1,4.021697044,1,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Max kissed the mirror,Sensible,up,up,1,0.963892937,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Will licked the spoon,Sensible,up,up,1,1.340302944,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Tim cleaned the floor,Sensible,up,up,1,1.092494011,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The wall punched Jane,Non-sensible,down,down,1,1.630075932,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I fried the shirt,Sklar_violation,down,None,0,None,0,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The bucket lent Max,Non-sensible,down,down,1,1.233486176,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I drank the chocolate milk,Sklar_control_B,down,down,1,1.316736937,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The toffee chewed Ben,Non-sensible,up,up,1,0.971532106,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Matt drank the juice,Sensible,down,down,1,1.645933867,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The door kicked Max,Non-sensible,up,up,1,1.935849905,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I washed the floor,Sklar_control_B,down,down,1,1.93944788,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Josh scrubbed the pot,Sensible,down,down,1,2.046108007,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The debt paid Zoe,Non-sensible,up,up,1,1.551801205,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Ryan painted the picture,Sensible,up,up,1,2.480163097,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Liz sliced the tomato,Sensible,up,up,1,2.798576832,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I opened the refrigerator,Sklar_control_A,up,up,1,1.387354851,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Jon polished the coins,Sensible,down,down,1,1.257101059,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I changed the sock,Sklar_filler,down,None,0,None,0,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The card posted Erin,Non-sensible,down,down,1,2.610427141,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The curtains measured Rob,Non-sensible,down,down,1,2.712203026,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,Beth wiped the table,Sensible,down,down,1,4.97030592,2,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,The pillow hugged Kate,Non-sensible,down,down,1,2.127593994,3,2015_Oct_02_1041,85.03610833,CFS popping time,1,
2,1,I closed the door,Sklar_control_A,up,None,0,None,0,2015_Oct_02_1041,85.03610833,CFS popping time,1,
