subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column,PairID_column,List_column
33,1,7/27/89,26,f,1,Lucy counted the shoes,Sensible,edin_semantics,emo_sem_emo_sem,5.35409151087515,2,1,1,1,965068.992223782,123,A
33,1,7/27/89,26,f,2,The jar labeled Liz,Non-sensible,edin_semantics,emo_sem_emo_sem,1.02014485083055,1,1,1,1,965070.756397436,61,A
33,1,7/27/89,26,f,3,Ben got the radio,Sensible,edin_semantics,emo_sem_emo_sem,0.867656435235403,1,2,2,1,965072.36776516,88,A
33,1,7/27/89,26,f,4,Jack drank the beer,Sensible,edin_semantics,emo_sem_emo_sem,1.23241194267757,1,1,1,1,965074.343550671,135,A
33,1,7/27/89,26,f,5,Luke read the poster,Sensible,edin_semantics,emo_sem_emo_sem,2.56151378073264,1,1,1,1,965077.64844636,79,A
33,1,7/27/89,26,f,6,Bill trimmed the hair,Sensible,edin_semantics,emo_sem_emo_sem,0.750235730432905,1,1,1,1,965079.142112748,107,A
33,1,7/27/89,26,f,7,Jack posted the gift,Sensible,edin_semantics,emo_sem_emo_sem,0.915226840064861,2,1,1,1,965080.800446637,111,A
33,1,7/27/89,26,f,8,The room searched Jen,Non-sensible,edin_semantics,emo_sem_emo_sem,1.10373518906999,2,2,2,1,965082.646941213,10,A
33,1,7/27/89,26,f,9,The paper cut Jon,Non-sensible,edin_semantics,emo_sem_emo_sem,1.26798350713216,2,2,2,1,965084.658112591,20,A
33,1,7/27/89,26,f,10,Andy pulled the rope,Sensible,edin_semantics,emo_sem_emo_sem,1.85600525722839,2,2,2,1,965087.257384296,148,A
33,1,7/27/89,26,f,11,The bucket lent Max,Non-sensible,edin_semantics,emo_sem_emo_sem,1.00914153072517,1,1,1,1,965089.009761165,19,A
33,1,7/27/89,26,f,12,Eve typed the message,Sensible,edin_semantics,emo_sem_emo_sem,1.11495146842208,2,2,2,1,965090.868016606,124,A
33,1,7/27/89,26,f,13,Eve ironed the trousers,Sensible,edin_semantics,emo_sem_emo_sem,1.07957875123248,2,2,2,1,965092.690993621,130,A
33,1,7/27/89,26,f,14,Ian labeled the box,Sensible,edin_semantics,emo_sem_emo_sem,0.868087805924006,1,2,1,0,965094.302327991,136,A
33,1,7/27/89,26,f,15,Erin tidied the garage,Sensible,edin_semantics,emo_sem_emo_sem,0.985757070011459,2,1,1,1,965096.0311966,77,A
33,1,7/27/89,26,f,16,Lucy cut the ribbon,Sensible,edin_semantics,emo_sem_emo_sem,1.0330628794618,1,1,1,1,965097.807090387,95,A
33,1,7/27/89,26,f,17,Tom visited the hospital,Sensible,edin_semantics,emo_sem_emo_sem,1.03299135842826,1,1,1,1,965099.583044791,91,A
33,1,7/27/89,26,f,18,Sam sucked the candy,Sensible,edin_semantics,emo_sem_emo_sem,0.762043741298839,1,1,1,1,965101.088478137,87,A
33,1,7/27/89,26,f,19,The hill climbed Luke,Non-sensible,edin_semantics,emo_sem_emo_sem,1.29099015763495,1,2,2,1,965103.12316483,68,A
33,1,7/27/89,26,f,20,Josh taught the rules,Sensible,edin_semantics,emo_sem_emo_sem,0.79778304323554,1,2,2,1,965104.663851265,90,A
33,1,7/27/89,26,f,21,Anna polished the trophy,Sensible,edin_semantics,emo_sem_emo_sem,0.832816116162576,2,2,2,1,965106.239890531,104,A
33,1,7/27/89,26,f,22,Jay painted the portrait,Sensible,edin_semantics,emo_sem_emo_sem,0.973912176094018,1,2,2,1,965107.956993465,110,A
33,1,7/27/89,26,f,23,Luke fixed the radio,Sensible,edin_semantics,emo_sem_emo_sem,1.89168971579056,2,2,2,1,965110.591657772,112,A
33,1,7/27/89,26,f,24,Leo passed the salt,Sensible,edin_semantics,emo_sem_emo_sem,0.937140471069142,2,2,2,1,965112.273353671,118,A
33,1,7/27/89,26,f,25,The lolly sucked Leah,Non-sensible,edin_semantics,emo_sem_emo_sem,1.16176529065706,2,2,2,1,965114.178649685,12,A
33,1,7/27/89,26,f,26,Tim took the ticket,Sensible,edin_semantics,emo_sem_emo_sem,0.821206632070243,2,2,2,1,965115.742913333,128,A
33,1,7/27/89,26,f,27,Ian dented the bowl,Sensible,edin_semantics,emo_sem_emo_sem,1.47976502648089,1,2,2,1,965117.965774825,146,A
33,1,7/27/89,26,f,28,Ian filed the report,Sensible,edin_semantics,emo_sem_emo_sem,2.98512396542355,1,1,1,1,965121.694094359,99,A
33,1,7/27/89,26,f,29,The story wrote Ewan,Non-sensible,edin_semantics,emo_sem_emo_sem,1.05591462133452,1,2,2,1,965123.493477162,74,A
33,1,7/27/89,26,f,30,The shelf dusted Jake,Non-sensible,edin_semantics,emo_sem_emo_sem,7.07835199078545,2,1,1,1,965131.314670965,47,A
33,1,7/27/89,26,f,31,The cake iced Mary,Non-sensible,edin_semantics,emo_sem_emo_sem,1.60835550585762,2,2,2,1,965133.666912233,44,A
33,1,7/27/89,26,f,32,The milk sniffed Phil,Non-sensible,edin_semantics,emo_sem_emo_sem,1.21997563797049,1,2,2,1,965135.631034058,18,A
33,1,7/27/89,26,f,33,The bowl scrubbed Liz,Non-sensible,edin_semantics,emo_sem_emo_sem,1.25586824503262,2,2,2,1,965137.630444892,56,A
33,1,7/27/89,26,f,34,The dish served Kate,Non-sensible,edin_semantics,emo_sem_emo_sem,0.832329902099445,2,2,2,1,965139.206420656,70,A
33,1,7/27/89,26,f,35,The book read Sean,Non-sensible,edin_semantics,emo_sem_emo_sem,1.11471541726496,2,2,2,1,965141.064684435,4,A
33,1,7/27/89,26,f,36,The sheets counted Bill,Non-sensible,edin_semantics,emo_sem_emo_sem,1.05605862534139,2,2,2,1,965142.864176284,48,A
33,1,7/27/89,26,f,37,The box lifted Kate,Non-sensible,edin_semantics,emo_sem_emo_sem,1.38513416436035,2,1,1,1,965144.992951499,69,A
33,1,7/27/89,26,f,38,The handle pulled Tim,Non-sensible,edin_semantics,emo_sem_emo_sem,0.938912779092789,1,1,1,1,965146.674776649,73,A
33,1,7/27/89,26,f,39,Ella mashed the turnip,Sensible,edin_semantics,emo_sem_emo_sem,0.821004898054525,1,1,1,1,965148.239035487,103,A
33,1,7/27/89,26,f,40,The flour weighed Jen,Non-sensible,edin_semantics,emo_sem_emo_sem,0.902728956774808,1,2,2,1,965149.885572591,64,A
33,1,7/27/89,26,f,41,The herbs chopped Phil,Non-sensible,edin_semantics,emo_sem_emo_sem,1.25621334149037,1,1,1,1,965151.88505655,27,A
33,1,7/27/89,26,f,42,The floor cleaned Tim,Non-sensible,edin_semantics,emo_sem_emo_sem,0.974066763999872,1,1,1,1,965153.60214473,5,A
33,1,7/27/89,26,f,43,The fruits mixed Jack,Non-sensible,edin_semantics,emo_sem_emo_sem,1.12666743213777,1,2,2,1,965155.472175789,8,A
33,1,7/27/89,26,f,44,The fur stroked Rob,Non-sensible,edin_semantics,emo_sem_emo_sem,0.856395254842937,1,1,1,1,965157.071674244,41,A
33,1,7/27/89,26,f,45,Fred served the dessert,Sensible,edin_semantics,emo_sem_emo_sem,1.05638736509718,2,1,1,1,965158.871091365,145,A
33,1,7/27/89,26,f,46,The photo took Beth,Non-sensible,edin_semantics,emo_sem_emo_sem,0.879746681195684,2,1,1,1,965160.494143301,53,A
